rule_id_lintq,file,line,message_lintq,rule_id_prior_work,message_prior_work,tool,same_issue,type,comment
ql-operation-after-measurement,quantumteleportation_2823d6.py,15,"Operation 'cx' on qubit 1 after measurement at location: (14, 2).",W0311,"Bad indentation. Found 1 spaces, expected 4.",Pylint,no,coding_style,
ql-oversized-circuit,hello_qiskit_e84c92.py,1486,Circuit 'qc' never manipulates some of its 2qubits.,C0103,"Variable name ""qc"" doesn't conform to snake_case naming style.",Pylint,no,coding_style,
ql-oversized-circuit,a03_deutsch_algorithm_solutions_checkpoint_cd1511.py,129,Circuit 'circuit' never manipulates some of its 2qubits.,W0621,Redefining name 'circuit' from outer scope (line 80).,Pylint,yes,,
ql-oversized-circuit,measurement_tests_fdc8b4.py,224,Circuit 'qc' never manipulates some of its 1qubits.,C0103,"Variable name ""qc"" doesn't conform to snake_case naming style.",Pylint,no,coding_style,
ql-oversized-circuit,test_structure_aaba85.py,1084,Circuit 'qc' never manipulates some of its 2qubits.,C0103,"Variable name ""qc"" doesn't conform to snake_case naming style.",Pylint,no,coding_style,
ql-oversized-circuit,test_structure_aaba85.py,45,Circuit 'qc' never manipulates some of its 2qubits.,C0103,"Variable name ""qc"" doesn't conform to snake_case naming style.",Pylint,no,coding_style,
ql-oversized-circuit,test_structure_aaba85.py,760,Circuit 'qc' never manipulates some of its 2qubits.,C0103,"Variable name ""qc"" doesn't conform to snake_case naming style.",Pylint,no,coding_style,
ql-oversized-circuit,circuit_d01243.py,359,Circuit 'tempCircuit' never manipulates some of its 1qubits.,C0103,"Variable name ""tempCircuit"" doesn't conform to snake_case naming style.",Pylint,no,coding_style,
ql-oversized-circuit,gateset_4ffe74.py,304,Circuit 'qc' never manipulates some of its 2qubits.,C0103,"Variable name ""qc"" doesn't conform to snake_case naming style.",Pylint,no,coding_style,
ql-oversized-circuit,gateset_4ffe74.py,82,Circuit 'qc' never manipulates some of its 1qubits.,C0103,"Variable name ""qc"" doesn't conform to snake_case naming style.",Pylint,no,coding_style,
ql-unmeasurable-qubits,benchmark_72ca3d.py,806,"Circuit 'nopt_qc' has more qubits (9) than classical  bits (3)
Circuit 'nopt_qc' has more qubits (11) than classical  bits (3)",C0301,Line too long (107/100).,Pylint,no,coding_style,
ql-unmeasurable-qubits,benchmark_72ca3d.py,804,"Circuit 'opt_qc2' has more qubits (9) than classical  bits (3)
Circuit 'opt_qc2' has more qubits (11) than classical  bits (3)",C0301,Line too long (106/100).,Pylint,no,coding_style,
ql-unmeasurable-qubits,test_structure_aaba85.py,1504,Circuit 'qc' has more qubits (1) than classical  bits (0),C0103,"Variable name ""qc"" doesn't conform to snake_case naming style.",Pylint,no,coding_style,
ql-unmeasurable-qubits,test_u_gate_940648.py,43,Circuit 'qc' has more qubits (3) than classical  bits (0),C0103,"Variable name ""qc"" doesn't conform to snake_case naming style.",Pylint,no,coding_style,
ql-unmeasurable-qubits,test_sdg_gate_56b97a.py,30,Circuit 'qc' has more qubits (3) than classical  bits (0),C0103,"Variable name ""qc"" doesn't conform to snake_case naming style.",Pylint,no,coding_style,
ql-unmeasurable-qubits,test_qiskit_738074.py,29,Circuit 'qc' has more qubits (3) than classical  bits (0),C0103,"Variable name ""qc"" doesn't conform to snake_case naming style.",Pylint,no,coding_style,
ql-unmeasurable-qubits,gates_20overview_44ffd3.py,193,Circuit 'ccX_circ' has more qubits (3) than classical  bits (1),C0303,Trailing whitespace.,Pylint,no,coding_style,
ql-unmeasurable-qubits,gates_20overview_44ffd3.py,183,Circuit 'cRz_circ' has more qubits (2) than classical  bits (1),C0303,Trailing whitespace.,Pylint,no,coding_style,
ql-deprecated-identity,4_qbits_decoherence_9bbc1f.py,397,The deprecated iden() API is called.,E1101,Instance of 'QuantumCircuit' has no 'iden' member.,Pylint,yes,,
ql-deprecated-identity,bit_flip_code_f40402.py,48,The deprecated iden() API is called.,E1101,Instance of 'QuantumCircuit' has no 'iden' member.,Pylint,yes,,
ql-deprecated-identity,bit_flip_code_f40402.py,47,The deprecated iden() API is called.,E1101,Instance of 'QuantumCircuit' has no 'iden' member.,Pylint,yes,,
ql-deprecated-identity,4_qbits_decoherence_9bbc1f.py,394,The deprecated iden() API is called.,E1101,Instance of 'QuantumCircuit' has no 'iden' member.,Pylint,yes,,
ql-deprecated-identity,4_qbits_decoherence_9bbc1f.py,268,The deprecated iden() API is called.,E1101,Instance of 'QuantumCircuit' has no 'iden' member.,Pylint,yes,,
ql-deprecated-identity,bit_flip_code_f40402.py,49,The deprecated iden() API is called.,E1101,Instance of 'QuantumCircuit' has no 'iden' member.,Pylint,yes,,
ql-deprecated-identity,discrete_solver_7f2f57.py,70,The deprecated iden() API is called.,E1101,Instance of 'QuantumCircuit' has no 'iden' member.,Pylint,yes,,
ql-deprecated-identity,01_classical_and_quantum_probability_distributions_411e21.py,192,The deprecated iden() API is called.,E1101,Instance of 'QuantumCircuit' has no 'iden' member.,Pylint,yes,,
ql-deprecated-identity,helper_functions_a521e2.py,104,The deprecated iden() API is called.,E1101,Instance of 'QuantumCircuit' has no 'iden' member.,Pylint,yes,,
ql-deprecated-identity,energyrelaxation_230ca7.py,29,The deprecated iden() API is called.,E1101,Instance of 'QuantumCircuit' has no 'iden' member.,Pylint,yes,,
ql-deprecated-identity,phase_flip_code_4072b2.py,52,The deprecated iden() API is called.,E1101,Instance of 'QuantumCircuit' has no 'iden' member.,Pylint,yes,,
ql-deprecated-identity,t1_3fa19f.py,26,The deprecated iden() API is called.,E1101,Instance of 'QuantumCircuit' has no 'iden' member.,Pylint,yes,,
ql-deprecated-identity,t2_ramsey_2e0f5a.py,31,The deprecated iden() API is called.,E1101,Instance of 'QuantumCircuit' has no 'iden' member.,Pylint,yes,,
ql-deprecated-identity,unitary_simulator_25e259.py,42,The deprecated iden() API is called.,E1101,Instance of 'QuantumCircuit' has no 'iden' member.,Pylint,yes,,
