problem_id,url,snippet,experiment,present_in_last_experiment,unique_id,line,date_found,analysis_results,detector_rule,summary,more_info,intended_behavior,triage,problem_description,FP_reason,manifestation,status,added_to_test_suite,IDEA,date_reported,API_usage,link_to_issue,developer_reaction,developer comment,component,known_before
06_f549f9_164,https://github.com/LucianoPereiraValenzuela/HEEM/blob/1e74fd7e93aa615dc22feb0052b68e7532e2c1d6/Codes/deprecated/our_VQE.py,return qc.compose(qc_temp) ,exp_v06,,our_vqe_f549f9,164,6-mar-23,codeql_2023-03-06_13-18-11,ql-ghost-composition,We should remove warnings when qc.compose is used in a return statement,The compose is returned by a function,They implement a VQE algo,FP,,,silent,,yes,#N/A,,compose,,,,,
06_fe6009_63,https://github.com/timholthuijsen/QuantumProject/blob/bf410651cbdd41af4552a36be480b10bc412a40b/InefficientNot.py,"qc.barrier()
    qc.measure(0,0)
    trial = qc.measure(0,0)",exp_v06,,inefficientnot_fe6009,63,16-mar-23,codeql_2023-03-09_12-18-15,ql-double-measurement,There are two measurement on qubit 0.,measured the same qubit twice,Implementation of an inefficient NOT with errors.,TP,Redundant measurment ,,silent,"fixed:
https://github.com/timholthuijsen/QuantumProject/commit/ef400f41fb12bd8a91a572569224c6df9a2f4779",,#N/A,20-mar-23,measure,https://github.com/timholthuijsen/QuantumProject/issues/1,,,algorithm,
06_4c9443_35,https://github.com/beaudoco/qiskit-shifting-simulator/blob/5348151514ed2c60619b813b7b0eaad693fd8e59/circuits/circuit_0_5.py,"qr = QuantumRegister(5, 'q')
cr = ClassicalRegister(2, 'c')
qc_5_close = QuantumCircuit(qr, cr)
num_gates = 50 
for i in range(num_gates):    
    qc_5_close.cx(qr[0], qr[1])
    qc_5_close.cx(qr[3], qr[4])
    qc_5_close.barrier()
qc_5_close.measure(qr[0], cr[0])
qc_5_close.measure(qr[1], cr[1])
max_experiments = 25
circ_list = []
for i in range(max_experiments):
    circ_list.append(qc_5_close)
job = execute(circ_list, backend, shots=8192)
result = job.result()",exp_v06,,circuit_0_5_4c9443,35,7-mar-23,codeql_2023-03-06_13-18-36,ql-oversized-circuit,The circuit has 5 qubits but uses only four.,"Qubit unused. 4 qubits were enough, instead of 5.",Study effect of multiple additions on CNOT gate to the circuit results executed on Manila (real quantum computer),TP,Unused qubit ,,silent,reported,,#N/A,13-mar-23,unused bits,https://github.com/beaudoco/qiskit-shifting-simulator/issues/1,,,algorithm,
06_e6a6d7_,https://github.com/Cryoris/notebooks/blob/7d04b5470e245c1d060a3eb73b5fbce9ee1f85f4/QFT%20madness.ipynb,textbook = QuantumCircuit(2).compose(rswap).compose(QFT(2)).compose(rswap),exp_v06,,qft_20madness_e6a6d7,,6-mar-23,codeql_2023-03-06_13-18-14,ql-ghost-composition,"The compose is used in a chain of function calls. This should be modelled, perhaps checking that the compose is not in the AST subtree on the right.","There is an arithmetic expression instead of a plain assignement, thus we do not capture it with the current modelling. But it is legit.",Demo code from textbook example,FP,,,,,yes,#N/A,,compose,,,,,
06_e94ab1_,https://github.com/Qiskit/platypus/blob/57c19e59c7e87e2000f0c158dc2bb0da42bf90ce/notebooks/quantum-hardware/error-correction-repetition-code.ipynb,qc_init.compose(qc).draw(),exp_v06,,error_correction_repetition_code_e94ab1,,6-mar-23,codeql_2023-03-06_13-18-15,ql-ghost-composition,"Composed just before the function draw(), we may handle this similarly to the execute() in an ad hoc manner","The circuit is composed, never assigned and drawn.","The intent is to draw the circuit, not reuse the it later.",FP,,,,,,#N/A,,compose,,,,,
06_5accfc_6,https://github.com/sqrta/Qsketch/blob/ffdfbe309e6d18f562d4e2cab968c45cfee68ba1/Qiskit_wstate.py,"circ = QuantumCircuit(3)
circ.__1(__, 0)  # unrecognized weird api
ch0=HGate().control(ctrl_sstate=0)
circ.append(ch0, [0,1])",exp_v06,,"
qiskit_wstate_5accfc",6,7-mar-23,codeql_2023-03-06_13-18-33,ql-oversized-circuit,"The warning is correct: the qubit 2 is unused. But it is uclear if this is intended or not, probably not because the is no other context (e.g. teleportation algo)",,"It is unclear what the circuti should do, moreover a weird API is used.",Noteworthy,,,,,,#N/A,,unused bits,,,,,
06_93508a_22,https://github.com/Albisourous/quantumgameoflife/blob/3f320a774eae714e8e17dbdc2601239d3de8a5f8/quantum.py,"for row in range(0, grid_size):
        qc = QuantumCircuit(2, 2)
        qc2 = QuantumCircuit(2, 2)
        # 00 or 11
        qc.h(0)
        qc.cx(0, 1)
        qc.ry((np.pi/3), 0)
        qc.measure([0, 1], [0, 1])",exp_v06,FALSE,quantum_93508a,22,6-mar-23,codeql_2023-03-06_13-18-27,ql-operation-after-measurement,"The loop is correct, each iteration works on a brand new circuit, but the detector doesn't address the initialization. IDEA: this should perhaps became a path detector, similar to the sanitization detectors. ",,,FP,,,,,yes," this should perhaps became a path detector, similar to the sanitization detectors. ",,for loop circuit construction,,,,,
06_c0bda9_473,https://github.com/qifanyyy/JupyterNotebook/blob/20d8df6172906337f81583dabb841d66b8f31857/new_algs/Number%2Btheoretic%2Balgorithms/Shor's%2Balgorithm/Shor_Sequential_QFT.py,""""""" Cycle to create the Sequential QFT, measuring qubits and applying the right gates according to measurements """"""
    for i in range(0, 2*n):
        """"""reset the top qubit to 0 if the previous measurement was 1""""""
        circuit.x(up_reg).c_if(c_aux, 1)
        circuit.h(up_reg)
        cMULTmodN(circuit, up_reg[0], down_reg, aux, a**(2**(2*n-1-i)), N, n)
        """"""cycle through all possible values of the classical register and apply the corresponding conditional phase shift""""""
        for j in range(0, 2**i):
            """"""the phase shift is applied if the value of the classical register matches j exactly""""""
            circuit.u1(getAngle(j, i), up_reg[0]).c_if(up_classic, j)
        circuit.h(up_reg)
        circuit.measure(up_reg[0], up_classic[i])
        circuit.measure(up_reg[0], c_aux[0])",exp_v06,,shor_sequential_qft_c0bda9,473,8-mar-23,codeql_2023-03-08_15-15-36,ql-double-measurement,"The alert is correct, but the intent of the use could be to copy the classical information around (this could be a pattern of advanced users)",,"The intent is unclear, this repeated measurement could be a trick to copy the info in an auxiliary classical register, kind of ancilla bit.",Noteworthy,,,,,,#N/A,,measure,,,,,
06_f283bf_2543,https://github.com/Simula-COMPLEX/MutTG-paper/blob/fb7ec57f8ed101045d0f2bd573baf8a8cc078547/code/programs/QRAM.py,"qc = QuantumCircuit(qreg, addr, qram0, qram1, c)
    input_string = dec2bin(input)
    #print('input:'+str(input_string))
    if input_string[8] == '1':
        qc.x(addr[0])
    for i in range(4):
        if input_string[7-i] == '1':
            #print('input '+ str(7-i) + '=1')
            qc.x(qram0[i])
    for i in range(4):
        if input_string[3-i] == '1':
            #print('input ' + str(3 - i) + '=1')
            qc.x(qram1[i])
...
for i in range(4):
        qc.cswap(addr[0],qram0[i],qram1[i])",exp_v06,TRUE,qram_f283bf,2543,9-mar-23,codeql_2023-03-08_15-15-36,ql-oversized-circuit,"The modeling doesn't consider that different registers are different. Nevertheless, there is an actual bug because the addr is not fully used, even when expanding the loops. IDEA: implement QubitUsed concetpt and use loop unrolling.",The 4-qubits register representing the adress of the QRAM is used only in the qubit 0.,They implement a Qram,TP,Unused qubit (in 4-qubit register address of the QRAM),,,,, implement QubitUsed concetpt and use loop unrolling.,,unused bits,,,,,
06_f68607_219,https://github.com/Chibikuri/QuantumCircuitAnalyzer/blob/34e0761bb26e3f37d18e3c72bce3610e32fa7ffc/analyzer/fidelity/analyzefidelity.py,"q = QuantumRegister(4)
    c = ClassicalRegister(2)
    qc = QuantumCircuit(q, c)
    qc.x(q[0])
    for i in range(3):
        qc.cx(q[0], q[1])
        qc.cx(q[1], q[0])
    qc.measure(q[0], c[0])
    qc.measure(q[1], c[1])",exp_v06,,analyzefidelity_f68607,219,9-mar-23,codeql_2023-03-08_15-15-36,ql-oversized-circuit,There are indeed unused qubits here. The one at index 3 is never used.,All the circuit uses only qubit 0 and 1 of a 4-qubits register.,Fidelity analyzer addind errors.,TP,Unused qubit,,,,,#N/A,,unused bits,,,,,
06_a201b4_30,https://github.com/vietzd/qc-cloud-challenges/blob/32cd036077002bb1126b484ed0bc34a9154566e3/classification/distance_qiskit.py,"qreg = QuantumRegister(3, 'qreg')
    creg = ClassicalRegister(1, 'creg')
    qc = QuantumCircuit(qreg, creg, name='qc')
    backend = Aer.get_backend('qasm_simulator')
    centroid_distances = []
    for i in range(1, len(centroids)+1):
        qc.h(qreg[2])
        .... 
        qc.measure(qreg[2], creg[0])
        qc.reset(qreg)
        job = execute(qc, backend=backend, shots=1024)
        result = job.result().get_counts(qc)
        centroid_distances.append(result['1'])",exp_v06,,distance_qiskit_a201b4,30,16-mar-23,codeql_2023-03-09_12-18-15,ql-operation-after-measurement,The presence of the reset makes the measurement legitimate. IDEA: check when there is no reset between measurement and gate.,The presence of the reset makes the measurement legitimate.,Distance calculation. Kmeans clustering algo.,FP,,,,,, check when there is no reset between measurement and gate.,,mid-circuit measurements,,,,,
06_9133c2_14,https://github.com/ArtemPervushow/QuantumSea/blob/b272da800f39cf62a74e049f5c9a8787c02ef7dc/QuantumSea/main.py,"IBMQ.enable_account('99c0e0cf082 etc..') # Enter your API token here
provider = IBMQ.get_provider(hub='ibm-q')",exp_v06,,main_9133c2,14,8-mar-23,codeql_2023-03-08_15-15-36,ql-token-leakage,They leaked the credentials. Not sure if it was intended. Probably it is never intended.,,,TP,,,,,,#N/A,,credentials,,,,,
06_365616_260,https://github.com/SRI-International/QC-App-Oriented-Benchmarks/blob/0af48398f1faa0b1bacfff1ac0525f830d35c83d/shors/qiskit/shors_benchmark.py,"            qc.h(qr_counting)
            qc.measure(qr_counting[0], cr_data[k])
            qc.measure(qr_counting[0], cr_aux[0])",exp_v06,,shors_benchmark_365616,260,16-mar-23,codeql_2023-03-09_12-18-15,ql-double-measurement,Two measruement on the same qubit.,,"The intent is unclear, this repeated measurement could be a trick to copy the info in an auxiliary classical register, kind of ancilla bit.",Noteworthy,,,,,,#N/A,,measure,,,,,
06_e67137_332,https://github.com/narghev/qiskit/blob/6d0e2e79bdc63579d00569543e7bb0bd7c71930c/1_ProbDist_Measurement_Evolution_Practice.ipynb,"inp = qiskit.QuantumRegister(1, 'input')
meas = qiskit.ClassicalRegister(2, 'measure')
circuit = qiskit.QuantumCircuit(inp, meas)
circuit.h(inp[0])
circuit.measure(inp[0], meas[0])
circuit.measure(inp[0], meas[1])",exp_v06,,1_probdist_measurement_evolution_practice_e67137,332,16-mar-23,codeql_2023-03-09_12-18-15,ql-double-measurement,Two measruement on the same qubit.,The behaviour is confeirmed by the taks of the exercise. Two measurment are executed on the same qubit giving the same reusult.,Tutorial exercise where explicitely asked to add a double measurmenet to verify that the the two get the same result.,TP,Redundant measurement,,,,,#N/A,,measure,,,,,
08_56dff3_37,https://github.com/LucianoPereiraValenzuela/HEEM/blob/1e74fd7e93aa615dc22feb0052b68e7532e2c1d6/Codes/deprecated/test_VQE.py,"    # Create variational circuit (without classical register), and substitute the parameters of each gate
    qc_temp = EfficientSU2(num_qubits, entanglement='full', reps=n_rep).bind_parameters(params)
    return qc.compose(qc_temp) ",exp_v08,,test_vqe_56dff3,37,22-mar-23,codeql_2023-03-20_19-13-27,ql-ghost-composition,"Composed circuit is returned, thus it is valid. IDEA: check if the cirucit is reurned and disable the warning.",The compose is returned by a function,They implement a VQE algo,FP,,,,,,,,compose,,,,,
08_0e29a1_109,https://github.com/gblazq/cVQE/blob/5a566103c35696ec0cf2b016c38d71de696e0e29/cVQE/variational_forms/cfgs.py,"        ansatz =  self._circuit_constructors[self._method](parameters, derivative, shift)
        
        return circuit.compose(ansatz, self._son_registers + derivative_ancilla*[len(q) - 1])",exp_v08,,cfgs_0e29a1,109,22-mar-23,codeql_2023-03-20_19-13-27,ql-ghost-composition,"Composed circuit is returned, thus it is valid. IDEA: check if the cirucit is reurned and disable the warning.",The compose is returned by a function,Test code for VQE.,FP,,,,,,,,compose,,,,,
08_e52934_29,https://github.com/jbasinger/QuantumComputing/blob/0887aeacd6d70956a6f9599de2677601a3b8a663/sandbox.py,"i=-1
qr = QuantumRegister(2)
cr = ClassicalRegister(8)
c = QuantumCircuit(qr,cr)
c.x(qr[1])
c.measure(qr[0],(i:=i+1))
c.measure(qr[1],(i:=i+1))
c.z(qr[0])
c.measure(qr[0],(i:=i+1))
c.measure(qr[1],(i:=i+1))",exp_v08,,sandbox_e52934,29,22-mar-23,codeql_2023-03-20_19-13-27,ql-double-measurement,The user repeats the measurement twice on the same bit,The user repeats the measurement twice on the same qubit 1 even if no operations were done in between.,Single circuit program with simulation.,TP,Redundant measurement,,,,,,,measure,,,,,
08_e94ab1_303,https://github.com/Qiskit/platypus/blob/57c19e59c7e87e2000f0c158dc2bb0da42bf90ce/notebooks/quantum-hardware/error-correction-repetition-code.ipynb ,"qc_init = QuantumCircuit(cq, lq, sb)
qc_init.h(cq[0])
qc_init.cx(cq[0],cq[1])
qc_init.x(cq[0])

qc_init.compose(qc).draw()",exp_v08,,error_correction_repetition_code_e94ab1,303,22-mar-23,codeql_2023-03-20_19-13-27,ql-ghost-composition,"Composed just before the function draw(), we may handle this similarly to the execute() in an ad hoc manner","The circuit is composed, never assigned and drawn.","The intent is to draw the circuit, not reuse the it later. Textboox qiskit demo code.",FP,,,,,,,,compose,,,,,
06_639c75_34,https://github.com/cpbunker/learn_qiskit/blob/08911639eb8fd94b2c5101ccfb24e6385cfc9a27/intro/adder.py,"qc = QuantumCircuit(len(halfadder.qubits), len(halfadder.clbits)); # zeros like
    qc.compose(input_circ, qubits = list(range(len(input_circ.qubits))), clbits = list(range(len(input_circ.clbits))), inplace = True);
    qc.compose(halfadder, qubits = list(range(len(halfadder.qubits))), clbits = list(range(len(halfadder.clbits))), inplace = True);",exp_v06,,adder_639c75,34,6-mar-23,codeql_2023-03-06_13-18-19,ql-incompatible-composition,,The two circuits composed have parametric size.,The composition us correctly handled. ,FP,Modeling limitation: Circuit with unknown size.,,,,yes,#N/A,,compose,,,,,
06_9489c1_26,https://github.com/jiangtong1000/learn_QuantumCompute/blob/af36a484fe02cd21d3c44ebeba785825570a1c54/test1.py,"circ = QuantumCircuit(2)
    circ.h(0)
    circ.cx(0, 1)
...
    meas = QuantumCircuit(2, 1)
    meas.barrier(range(2))
    meas.measure(0, 0)
    qc = meas.compose(circ, front=True)",exp_v06,FALSE,test1_9489c1,26,9-mar-23,codeql_2023-03-08_15-15-36,ql-ungoverned-composition,"Even if the warning is correct, thy pattern might is not very precise. IDEA: disable or evaluate different levels of precision separately.",,,Noteworthy,,,,,, disable or evaluate different levels of precision separately.,,compose,,,,,
06_a4a9d1_29,https://github.com/CAholder/TKET-Testing/blob/4c27af305968f0169ebdd91c697392d38f8140a7/Testing.py,"qc = QuantumCircuit(2,2)
qc.h(0)
qc.cx(0,1)
meas = QuantumCircuit(2,2)
meas.measure([0,1],[0,1])
backend = BasicAer.get_backend('qasm_simulator')
drawing = qc.compose(meas)",exp_v06,FALSE,testing_a4a9d1,29,9-mar-23,codeql_2023-03-08_15-15-36,ql-ungoverned-composition,"too noisy, all right here. IDEA: maybe we can improve this by preventing alerts when the two composed circuits have the same size.",,,Noteworthy,,,,,, maybe we can improve this by preventing alerts when the two composed circuits have the same size.,,compose,,,,,
06_bc8def_14,https://github.com/TomaszModrzejewski/Python/blob/5ff53a9f0f870659baa34718d361e624b3427ec9/circuit.py,"circuit = QuantumCircuit(qreg_q, creg_c)
...
circuit.tdg(qreg_q[0])
circuit.measure(qreg_q[1], creg_c[1])
circuit.rzz(pi/2, qreg_q[1], qreg_q[2]).c_if(creg_c, 0)
circuit.reset(qreg_q[1])",exp_v06,,circuit_bc8def,14,8-mar-23,codeql_2023-03-08_15-15-36,ql-operation-after-measurement,"They use the mid-circuit measurement to decide whether to apply a gate in realtime or not. This is a rudimental runtime control flow, which is typically deactivated in most HW because of the complexity to implement it physically, but some started to support it.",,create a quantum circuit using various operations. Not clear goal of the circuit.,Noteworthy,,,,,,#N/A,,mid-circuit measurements,,,,,
06_b0607e_30,https://github.com/cda-tum/ddsim/blob/236821f556492dc3cce2c6d528626a1f08423a8a/test/python/simulator/test_multi_registers_convention.py,"qreg0 = QuantumRegister(2, ""q0"")
        creg0 = ClassicalRegister(2, ""c0"")
        qreg1 = QuantumRegister(2, ""q1"")
        creg1 = ClassicalRegister(2, ""c1"")
        circ = QuantumCircuit(qreg0, qreg1)
        circ.x(qreg0[1])
        circ.x(qreg1[0])
        meas = QuantumCircuit(qreg0, qreg1, creg0, creg1)
        meas.measure(qreg0, creg0)
        meas.measure(qreg1, creg1)
        qc = meas.compose(circ, front=True)",exp_v06,FALSE,test_multi_registers_convention_b0607e,30,9-mar-23,codeql_2023-03-08_15-15-36,ql-ungoverned-composition,IDEA: disable when they refer to the same registers even.,,,Noteworthy,,,,,, disable when they refer to the same registers even.,,compose,,,,,
