bug_id,url,Snippet,experiment,unique_id,line,date_found,analysis_results,detector_rule,API_usage,triage,manifestation,added_to_test_suite,summary,date_reported,is_detector_correct_in_latest_version,bug_description,link_to_issue,developer_reaction,developer comment,component,known_before,status
06_09be03_19,https://github.com/tula3and/qoupang/blob/efab669e5d529e42a66d6cb2d28cfc22c6103d68/qrng/qrng.py,"circuit = QuantumCircuit(q,c)
circuit.h(q)
for i in range(47):
    circuit.cx(q[i], q[47])
circuit.measure_all()",exp_v06,qrng_09be03,19,6-mar-23,codeql_2023-03-06_13-18-20,ql-measure-abuse,measure_all,TP,longer output,,"Using measure_all with default parameters adds a new classical register. Here you already have one, thus the outputs has 47*2 bits.",8-mar-23,,BUG: consuming double of the space needed,https://github.com/tula3and/qoupang/issues/1,,,algorithm,,reported
06_55fd07_25,https://github.com/0tt3r/QuaC-qiskit/blob/6fda8db41e6cbdab11059f036a34fa9e410d11a8/examples/demos/bell_states_example.py,"circuit2 = QuantumCircuit(2, 2)
    circuit2.h(0)
    circuit2.cx(0, 1)
    circuit2.measure_all()",exp_v06,bell_states_example_55fd07,25,6-mar-23,codeql_2023-03-06_13-18-21,ql-measure-abuse,measure_all,TP,longer output,,"Using measure_all with default parameters adds a new classical register. Here you already have one, thus the outputs has 2*2 bits.",9-mar-23,,BUG: unwanted addition of classical bits via `measure_all`,https://github.com/0tt3r/QuaC-qiskit/issues/1,,,algorithm,,reported
06_a7cb5a_4,https://github.com/UST-QuAntiL/QuantME-UseCases/blob/9403b0a896ad55676416c001539c7589f8efe5fb/2020-ucc/grover/circuits/oracle3.py,"qc = QuantumCircuit()
q = QuantumRegister(5, 'q')
qc.add_register(q)
qc.h(q[4])
qc.mct(list(range(4)), 4)
qc.h(q[4])
def get_circuit(**kwargs):
    """"""Get oracle circuit.""""""
    return qc",exp_v06,oracle3_a7cb5a,4,6-mar-23,codeql_2023-03-06_13-18-22,ql-unmeasurable-qubit,circuit size,Noisy warning,,yes,"The circuit has indeed a bug (since it has 5 qubits vs 0 bits), but this is expected since the circuit is returned to be used as a subcircuit. IDEA: We could improve it by checking whether the circtit has been used as return value of a function or it is a subcircuit.",,,,,,,,,
06_60383a_15,https://github.com/iitis/PyQBench/blob/2294720a49b869c7f1e20b1510d7cb089bd4d771/qbench/fourier/_components/_lucy_and_ibmq_common.py,"def u_dag(phi: AnyParameter) -> Instruction:
    circuit = QuantumCircuit(1, name=""U-dag"")
    circuit.sx(0)
    circuit.rz(np.pi / 2, 0)
    circuit.sx(0)
    circuit.rz(-phi, 0)
    circuit.sx(0)
    circuit.rz(np.pi / 2, 0)
    circuit.sx(0)
    return circuit.to_instruction()",exp_v06,lucy_and_ibmq_common_60383a,15,6-mar-23,codeql_2023-03-06_13-18-23,ql-unmeasurable-qubit,circuit size,Noisy warning,,yes,"The circuit with no classical bit has a meaning in this case, because it is returned as function, thus making it a reusable component. IDEA: check that the circuit doesn't appear in the return function.",,,,,,,,,
06_8acb22_16,https://github.com/mcoggins96/Quantum-Computing-UK-Repository/blob/b6835dcc619c7125a77c9e502ab4fc69af93ecb4/Advanced/Phase_estimation.py,"q = QuantumRegister(4,'q')
c = ClassicalRegister(3,'c')
circuit = QuantumCircuit(q,c)",exp_v06,phase_estimation_8acb22,16,6-mar-23,codeql_2023-03-06_13-18-24,ql-unmeasurable-qubit,circuit size,Noisy warning,,,"The circuit has an extra qubit with a certain phase. This phase is detected indirectly using the qft. Thus, the extra bit which is not measured seems typical of this artificial experimental setup.",,,,,,,,,
06_72ca3d_591,https://github.com/Chibikuri/qwopt/blob/e65549db83142af4c6b63cce9f55050ee87fb27a/notebook/benchmark.py,"cq = QuantumRegister(3, 'control')
    tq = QuantumRegister(3, 'target')
#     ancilla for mct gates
    anc = QuantumRegister(3, 'mct anc')
    c = ClassicalRegister(3, 'classical')
    if opt:
        opt_anc = QuantumRegister(2, 'ancilla')
        qc = QuantumCircuit(cq, tq, anc, opt_anc, c)
        qc.x(cq[0])
        qc.x(cq[2])
        qc.mct(cq, tq[2], anc)",exp_v06,benchmark_72ca3d,591,6-mar-23,codeql_2023-03-06_13-18-25,ql-oversized-circuit,unused bits,FP,,yes,The circuit has different registers but our modelling doesn't consider when the index refers to differnt circuits. IDEA: introduce the concept of Qubit instead of relying on the int index.,,,,,,,,,
06_17fe47_18,https://github.com/shantanu-misra/Quantum_coumputing_with_Qiskit/blob/baebc362c436de5e5a3d026625f486e44d17203f/Classical%20Gates%20with%20Qubits/OR_with_qubits.py,"qc = QuantumCircuit(3,1)
for input in ['00', '01', '10', '11']:
    if input[0] == '1':
        qc.x(0)
    if input[1] == '1':
        qc.x(1)
    qc.cx(0,2)
    qc.cx(1,2)
    qc.ccx(0,1,2)
    qc.measure(2,0)
    job = execute(qc,Aer.get_backend('qasm_simulator'),shots=1000)
    counts = job.result().get_counts(qc)
    print(""Input:"", input, ""Output:"", counts)",exp_v06,or_with_qubits_17fe47,18,6-mar-23,codeql_2023-03-06_13-18-26,ql-op-after-measurement,for loop circuit construction,TP,silent,,"The circuit is not re-initialized at each iteration, thus what remains from the previous iteration is reused making qubit gates to appear after a measurement. NOTE: this is correctly detected becuase the program sees any possible control flow. It is naive now: it doesn't check any initialization as of now.",10-mar-23,,BUG: missing circuit re-initialization in OR implementation,https://github.com/shantanu-misra/Quantum_coumputing_with_Qiskit/issues/1,,,algorithm,,reported
06_93508a_22,https://github.com/Albisourous/quantumgameoflife/blob/3f320a774eae714e8e17dbdc2601239d3de8a5f8/quantum.py,"for row in range(0, grid_size):
        qc = QuantumCircuit(2, 2)
        qc2 = QuantumCircuit(2, 2)
        # 00 or 11
        qc.h(0)
        qc.cx(0, 1)
        qc.ry((np.pi/3), 0)
        qc.measure([0, 1], [0, 1])",exp_v06,quantum_93508a,22,6-mar-23,codeql_2023-03-06_13-18-27,ql-op-after-measurement,for loop circuit construction,FP,,yes,"The loop is correct, each iteration works on a brand new circuit, but the detector doesn't address the initialization. IDEA: this should perhaps became a path detector, similar to the sanitization detectors. ",,,,,,,,,
06_5b8be6_27,https://github.com/neocarton/demo-quantum-hello/blob/bc5042830f89b45b4ee7342d3c174967c6a346d4/demo3_quantum_teleportation.ipynb,"circuit = QuantumCircuit(3, 3)
circuit.x(0)
circuit.barrier()
circuit.h(1)
circuit.cx(1, 2)
circuit.cx(0, 1)
circuit.h(0)
circuit.barrier()
circuit.measure([0, 1], [0, 1])
circuit.barrier()
circuit.cx(1, 2)
circuit.cz(0, 2)
circuit.measure([2], [2])",exp_v06,"
demo3_quantum_teleportation_5b8be6",27,6-mar-23,codeql_2023-03-06_13-18-28,ql-op-after-measurement,mid-circuit measurements,Noisy warning,,,"The teleportation algorithm requires in circuit measurement, thus it is normal to apply cnot or controlled rotations as function of what has been measured. OPENQasm3 supports mid circuits measurements: https://quantum-computing.ibm.com/lab/docs/iql/manage/systems/midcircuit-measurement/ IDEA: disable the check if you work with OpenQASM3.",,,,,,,,,
06_fd4508_36,https://github.com/CleverCracker/Quantum_Image_Based_Search_Engine/blob/42baeb62714d685a011213fe209cab208154e301/SearchEngine_32x32.py,"for x in range(0, 5):
    qc = QuantumCircuit(targetQubit, ref, original, anc, c)
    qc.initialize(data[index], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 23])
    qc.initialize(data[x], range(12, 24))
    qc.tdg(targetQubit[0])
    qc.h(targetQubit[0])
    for i in range(len(ref)):
        qc.cswap(targetQubit[0], ref[i], original[i])
    qc.h(targetQubit[0])
    qc.tdg(targetQubit[0])
    qc.measure(targetQubit[0], c)",exp_v06,searchengine_32x32_fd4508,36,6-mar-23,codeql_2023-03-06_13-18-29,op-after-measurement,for loop circuit construction,FP,,yes,"The loop is correct, each iteration works on a brand new circuit, but the detector doesn't address the initialization. IDEA: this should perhaps became a path detector, similar to the sanitization detectors. ",,,,,,,,,
06_23d6b0_22,https://github.com/ahmedkfu2020/-/blob/a205805a9dfaef2f8cb2ff0645c597b1b119747c/ahmed23_2.py,"for i in range(1,12):
    # quantum circuit with one qubit and one bit
    qreg =  QuantumRegister(1) 
    creg = ClassicalRegister(1) 
    mycircuit = QuantumCircuit(qreg,creg)
    # the stream of length i
    for j in range(i):
        mycircuit.ry(2*theta,qreg[0]) # apply one rotation for each symbol
    mycircuit.measure(qreg[0],creg[0])",exp_v06,ahmed23_2_23d6b0,22,7-mar-23,codeql_2023-03-06_13-18-30,ql-double-measurement,mid-circuit measurements,FP,,yes,"The current setup doesn't consider circuits initialization along the control flow path. Leading to false positives. IDEA: keep only warnings without circuit initialization along the path, get inspired by sanitization.",,,,,,,,,
06_c7825c_18,https://github.com/jdmejiav/cuantum-teleportation/blob/9dc2eab7fe791015a5c0f0a467fc0c93c439d1f2/qiskitcode.py,"circuit.h(qreg_q[0])
circuit.barrier(qreg_q[2], qreg_q[0], qreg_q[1])
circuit.measure(qreg_q[0], creg_c[0])
circuit.measure(qreg_q[1], creg_c[1])
circuit.barrier(qreg_q[2], qreg_q[0], qreg_q[1])
circuit.cx(qreg_q[1], qreg_q[2])
circuit.cz(qreg_q[0], qreg_q[2])",exp_v06,qiskitcode_c7825c,18,7-mar-23,codeql_2023-03-06_13-18-31,ql-op-after-measurement,mid-circuit measurements,Noisy warning,,,Resemblance with Teleportation variant. Duplicate of: 06_5b8be6_27,,,,,,,,,
06_197312_9,https://github.com/utzb/ceq/blob/91699cabea3910be2d20c850173a64c1a1607658/src/main.py,"N = 6 
qc = QuantumCircuit(N)  # it correctly detects it has 6 bits
qc.x(range(0, N))
qc.h(range(0, N))
",exp_v06,main_197312,9,7-mar-23,codeql_2023-03-06_13-18-32,ql-oversized-circuit,gate addition in parallel,FP,,,"The modelling doesn't support the addition of gate with a range, meaning that all bits should get the same gate assigned in parallel. IDEA: support qc.h(range(0,c)) parallel addition.",,,,,,,,,
06_5accfc_6,https://github.com/sqrta/Qsketch/blob/ffdfbe309e6d18f562d4e2cab968c45cfee68ba1/Qiskit_wstate.py,"circ = QuantumCircuit(3)
circ.__1(__, 0)  # unrecognized weird api
ch0=HGate().control(ctrl_sstate=0)
circ.append(ch0, [0,1])",exp_v06,"
qiskit_wstate_5accfc",6,7-mar-23,codeql_2023-03-06_13-18-33,ql-oversized-circuit,unused bits,TP,,,"The warning is correct: the qubit 2 is unused. But it is uclear if this is intended or not, probably not because the is no other context (e.g. teleportation algo)",,,,,,,,,
06_7b998a_11,https://github.com/J2304789/Quantum-Random-Number-Generator/blob/dd751ffb653b88fdf4610ea3a5ba54e4efb5caa9/Python_Quantum_Random_Number_Generator/Python_Quantum_Number_Generator_1-6_QASM.py,"qc=QuantumCircuit(3,3)
for i in range(0,3):
    qc.h(i)",exp_v06,python_quantum_number_generator_1_6_qasm_7b998a,11,7-mar-23,codeql_2023-03-06_13-18-34,ql-oversized-circuit,unused bits,FP,,,"Due to modeling limitations, the gates added in a loop at the i position are invisible. IDEA: model an addition of a gate to the i-th position as an additon of a gate at any position in the range of i. OPTION 2: loop unroling in python, before codeql.",,,,,,,,,
06_ebf3ee_23,https://github.com/BenWhiteside/Quantum/blob/9ae1de847d4632279222c091d69a0b570ab43333/testSuperDenseCoding3.py,"from qiskit import QuantumCircuit as qc
circuit = qc(q, c)  # QLINT: detected correcly as a Quantum circuit
def create_bell_pair(qc, q, q0, q1):
    qc.h(q[q0])  # Apply a Hadamard to the first qubit.
    qc.cx(q[q0], q[q1])  # Apply a CNOT, controlled on the first qubit.
create_bell_pair(circuit, q, 0, 1)
circuit.barrier()",exp_v06,testsuperdensecoding3_ebf3ee,23,7-mar-23,codeql_2023-03-06_13-18-35,ql-oversized-circuit,subroutines to add gates,FP,,,"The modeling doesn't consider when the gates are added in subroutines. IDEA: consider subroutines by creating a connection between the local variable of a function and the circuit global variable, when the circuit is used in the respective function, use it transitively.",,,,,,,,,
06_4c9443_35,https://github.com/beaudoco/qiskit-shifting-simulator/blob/5348151514ed2c60619b813b7b0eaad693fd8e59/circuits/circuit_0_5.py,"qr = QuantumRegister(5, 'q')
cr = ClassicalRegister(2, 'c')
qc_5_close = QuantumCircuit(qr, cr)
num_gates = 50 
for i in range(num_gates):    
    qc_5_close.cx(qr[0], qr[1])
    qc_5_close.cx(qr[3], qr[4])
    qc_5_close.barrier()
qc_5_close.measure(qr[0], cr[0])
qc_5_close.measure(qr[1], cr[1])
max_experiments = 25
circ_list = []
for i in range(max_experiments):
    circ_list.append(qc_5_close)
job = execute(circ_list, backend, shots=8192)
result = job.result()",exp_v06,circuit_0_5_4c9443,35,7-mar-23,codeql_2023-03-06_13-18-36,ql-oversized-circuit,unused bits,TP,,,The circuit has 5 qubits but uses only four.,13-mar-23,,BUG: unused qubit,https://github.com/beaudoco/qiskit-shifting-simulator/issues/1,,,algorithm,,reported
06_4c9443_11,https://github.com/beaudoco/qiskit-shifting-simulator/blob/5348151514ed2c60619b813b7b0eaad693fd8e59/circuits/circuit_0_5.py,"QX_TOKEN = ""67313723797a8e ...""
IBMQ.enable_account(QX_TOKEN)
provider = IBMQ.get_provider(
    hub='ibm-q-research', group='penn-state-1', project='main')",exp_v06,circuit_0_5_4c9443,11,13-mar-23,codeql_2023-03-09_12-18-15,ql-token-leakage,leaked secret,TP,,,They leak a secret in clear,13-mar-23,,BUG: IBMQ token secret leakage,https://github.com/beaudoco/qiskit-shifting-simulator/issues/2,,,IBMQ Connection,,reported
06_93ae72_7,https://github.com/masosky/qiskit_basics/blob/a207f673078013ddbcee193f545936250bae7a8a/opeanQSAM_backend.py,"circ = QuantumCircuit(3)
circ.h(0)
circ.cx(0, 1)
circ.cx(0, 2)
meas = QuantumCircuit(3, 3)
meas.barrier(range(3))
meas.measure(range(3), range(3))
qc = meas.compose(circ, range(3), front=True)",exp_v06,opeanqsam_backend_93ae72,7,7-mar-23,codeql_2023-03-06_13-18-37,ql-unmeasurable-qubits,compose,FP,,yes,"The check of the unmeasurable qubits doesn't consider that the circuit might be part of a bigger circuit, thus the warning should be raised only if the final circuit has unmeasurable qubits. IDEA: improve the detector by raising the warning only if the circuit is not subcircuit.",,,,,,,,,
06_864acb_10,https://github.com/jamesjcai/quantum/blob/b18436492456e62db64a8b725554e07068ef2f3e/draw_bloch_sphere.py,"qc = QuantumCircuit(1)
qc.h(0)
qc.x(0)
qc.draw()
qc.save_statevector()
qobj = assemble(qc)
state = sim.run(qobj).result().get_statevector()
plot_bloch_multivector(state).show()",exp_v06,draw_bloch_sphere_864acb,10,7-mar-23,codeql_2023-03-06_13-18-38,ql-unmeasurable-qubits,plotting intent,Noisy warning,,,In theory the detector is right. But we would not want to notify the user when the intent is plotting. IDEA: remove warnings when the circuit goes to a plotting funtion (or even draw?),,,,,,,,,
06_ccbb30_44,https://github.com/physicalattraction/quantum-computing-tutorial/blob/bbeb8a86cb8ae06bd8072505d826a3eec6ce861a/src/qiskit_1_3_representing_qubit_states.py,"def draw_bloch_spheres():
    qc = QuantumCircuit(1)
    states = [ [1, 0], [0, 1],[1, 1], [1, -1j], [1j, 1],]
    for state in states:
        qc.initialize(normalize(state))
        draw_quantum_circuit(qc, draw_unitary=False)
",exp_v06,qiskit_1_3_representing_qubit_states_ccbb30,44,7-mar-23,codeql_2023-03-06_13-18-39,ql-unmeasurable-qubits,simulation / initialization,FP,,,"The circuit is created for simulation/plotting, thus they use qc.initialize() call. IDEA: We should model the initialize as an action on all the qubits perhaps. If we want to handle this case.",,,,,,,,,
06_061e13_39,https://github.com/sungmin-net/Qiskit_Tutorials/blob/579df0293d478e197bcaa579855aa6971354359f/tutorial03_QuantumOperations.py,"qc = QuantumCircuit(q)
qc.u2(pi / 2, pi / 2, q)
qc.draw('mpl')
plt.show()
plot_bloch_multivector(qc)
plt.show()
job = execute(qc, backend)
print(job.result().get_unitary(qc, decimals = 3))",exp_v06,tutorial03_quantumoperations_061e13,39,8-mar-23,codeql_2023-03-06_13-18-39,ql-oversized-circuit,plotting intent,Noisy warning,,,Similar to 06_864acb_10 but here the plot_bloch_sphere take the circuit as input,,,,,,,,,
06_6835fc_46,https://github.com/agustinsilva447/Reinforcement-Learning/blob/28e8c06ea081bb3130ae806cf4180a6a52eed099/Prueba%201/scigym-teleportation-bruteforce.py,"circuit = QuantumCircuit(3,3)
        for action in observation:
            if action == 0:
                actions_gate.append('H_0')
                circuit.h(0)
                circuit.barrier()
            ....
            elif (action == 10) or (action == 11):
                actions_gate.append('MEASURE_0')
                circuit.measure(0, 0) 
                circuit.barrier() 
           ...",exp_v06,scigym_teleportation_bruteforce_6835fc,46,8-mar-23,codeql_2023-03-06_13-18-39,ql-op-after-measurement,for loop circuit construction,TP,,,Not clear if the in-circuit measurements is intended or not.,,,,,,,,,
06_9133c2_14,https://github.com/ArtemPervushow/QuantumSea/blob/b272da800f39cf62a74e049f5c9a8787c02ef7dc/QuantumSea/main.py,"IBMQ.enable_account('99c0e0cf082 etc..') # Enter your API token here
provider = IBMQ.get_provider(hub='ibm-q')",exp_v06,main_9133c2,14,8-mar-23,codeql_2023-03-08_15-15-36,ql-token-leakage,credentials,TP,,,They leaked the credentials. Not sure if it was intended. Probably it is never intended.,,,,,,,,,
06_7c89be_15,https://github.com/CCNYseniors/rubik/blob/92ea9cbe816d85db447b8c6cdedf42b4e3f4e7c1/circuit.py,"circuit = QuantumCircuit(qreg_q, creg_c)
...
circuit.cx(qreg_q[0], qreg_q[1])
circuit.measure(qreg_q[0], creg_c[0])
circuit.rx(pi/3, qreg_q[0])
circuit.measure(qreg_q[1], creg_c[1])
circuit.ry(pi/5, qreg_q[1])
# END OF FILE",exp_v06,circuit_7c89be,15,8-mar-23,codeql_2023-03-08_15-15-36,ql-op-after-measurement,mid-circuit measurements,Noisy warning,,,Duplicate of the teleportation algorithm.,,,,,,,,,
06_bc8def_14,https://github.com/TomaszModrzejewski/Python/blob/5ff53a9f0f870659baa34718d361e624b3427ec9/circuit.py,"circuit = QuantumCircuit(qreg_q, creg_c)
...
circuit.tdg(qreg_q[0])
circuit.measure(qreg_q[1], creg_c[1])
circuit.rzz(pi/2, qreg_q[1], qreg_q[2]).c_if(creg_c, 0)
circuit.reset(qreg_q[1])",exp_v06,circuit_bc8def,14,8-mar-23,codeql_2023-03-08_15-15-36,ql-op-after-measurement,mid-circuit measurements,Noisy warning,,,"They use the mid-circuit measurement to decide whether to apply a gate in realtime or not. This is a rudimental runtime control flow, which is typically deactivated in most HW because of the complexity to implement it physically, but some started to support it.",,,,,,,,,
06_8c8baa_21,https://github.com/Kylet1699/Quantum-Minesweeper/blob/707e54e42249e7d0ca402f6536a149566cafc952/BombTester.py,"def quantum_sweeper(cycles) -> QuantumCircuit:
    qr = QuantumRegister(3, 'q')
    cr = ClassicalRegister(cycles + 1, 'c')
    qc = QuantumCircuit(qr, cr)
    qc.h(qr[0])
    theta = math.pi/cycles
    for cycle in range(cycles - 1):
        qc.append(RXGate(theta), [qr[1]])
        qc.ccx(qr[0], qr[1], qr[2])
        qc.measure(qr[2], cr[cycle])
        if cycle < cycles - 1:
            qc.reset(qr[2])
    qc.append(RXGate(theta), [qr[1]])
    qc.measure(qr[1], cr[cycles - 1])
    qc.measure(qr[0], cr[cycles])
    return qc
",exp_v06,bombtester_8c8baa,21,8-mar-23,codeql_2023-03-08_15-15-36,ql-op-after-measurement,mid-circuit measurements,Noisy warning,,,"They run the same circuit multiple times without reinitializing the circuit, it seems to be intended. IDEA: we could raise the alerm operation after measurement when the qubit is not reset after the measure. This example is indeed following this principle, thus it should be a FP. (althought they use a classical condition which might be difficult to detect).",,,,,,,,,
06_bc8def_26,https://github.com/TomaszModrzejewski/Python/blob/5ff53a9f0f870659baa34718d361e624b3427ec9/circuit.py,"qreg_q = QuantumRegister(3, 'q')
creg_c = ClassicalRegister(3, 'c')
circuit = QuantumCircuit(qreg_q, creg_c)
...
circuit.measure(qreg_q[1], creg_c[1])
circuit.rzz(pi/2, qreg_q[1], qreg_q[2]).c_if(creg_c, 0)
circuit.reset(qreg_q[1])   # NOTE THE RESET, BUT IT IS APPLIED AFTER THE  RZZ
circuit.cx(qreg_q[0], qreg_q[1])
circuit.ccx(qreg_q[0], qreg_q[1], qreg_q[2]).c_if(creg_c, 0)
circuit.t(qreg_q[0])
circuit.swap(qreg_q[1], qreg_q[2]).c_if(creg_c, 0)
circuit.x(qreg_q[0])
circuit.u(pi/2, pi/2, pi/2, qreg_q[1])
circuit.h(qreg_q[2])
circuit.sx(qreg_q[0])
circuit.id(qreg_q[1])
circuit.rx(pi/2, qreg_q[2])
circuit.y(qreg_q[1])",exp_v06,circuit_bc8def,26,8-mar-23,codeql_2023-03-08_15-15-36,ql-op-after-measurement,mid-circuit measurements,Noisy warning,,,"Here the reset is use one instruction too late, it should have been anticipated perhaps. IDEA: add this as a potential TP bug in the test.",,,,,,,,,
